Country_Name,Year,Country_Code,Population
Afghanistan,1960,0,8996973
Angola,1960,1,5454933
Albania,1960,2,1608800
Andorra,1960,3,13411
United Arab Emirates,1960,4,92418
Argentina,1960,5,20481779
Armenia,1960,6,1874121
Australia,1960,7,10276477
Austria,1960,8,7047539
Azerbaijan,1960,9,3895397
Burundi,1960,10,2797932
Belgium,1960,11,9153489
Bangladesh,1960,12,48013504
Bulgaria,1960,13,7867374
Bahrain,1960,14,162427
Bahamas,1960,15,109534
Belarus,1960,16,8198000
Bermuda,1960,17,44400
Bolivia,1960,18,3656955
Brazil,1960,19,72179226
Barbados,1960,20,230980
Bhutan,1960,21,223288
Botswana,1960,22,502745
Canada,1960,23,17909009
Switzerland,1960,24,5327827
Channel Islands,1960,25,109420
Chile,1960,26,8132990
China,1960,27,667070000
Cameroon,1960,28,5176918
Congo,1960,29,15248251
Colombia,1960,30,16057724
Comoros,1960,31,191121
Costa Rica,1960,32,1330782
Caribbean,1960,33,4194710
Cuba,1960,34,7141250
Curacao,1960,35,124826
Cayman Islands,1960,36,7865
Cyprus,1960,37,572930
Czech Republic,1960,38,9602006
Germany,1960,39,72814900
Djibouti,1960,40,83636
Dominica,1960,41,60011
Denmark,1960,42,4579603
Dominican Republic,1960,43,3294224
Algeria,1960,44,11057863
Ecuador,1960,45,4543666
Egypt,1960,46,26632894
Eritrea,1960,47,1007590
Spain,1960,48,30455000
Estonia,1960,49,1211537
Ethiopia,1960,50,22151278
Finland,1960,51,4429634
Fiji,1960,52,393481
France,1960,53,46621669
Gabon,1960,54,500928
United Kingdom,1960,55,52400000
Georgia,1960,56,3645600
Ghana,1960,57,6635230
Gibraltar,1960,58,23420
Guinea,1960,59,3494162
Gambia,1960,60,365047
Guinea,1960,59,616136
Greece,1960,61,8331725
Grenada,1960,62,89932
Greenland,1960,63,32500
Guatemala,1960,64,4210747
Guam,1960,65,66742
Hong Kong,1960,66,3075605
Honduras,1960,67,2038632
Croatia,1960,68,4140181
Haiti,1960,69,3866159
Hungary,1960,70,9983967
Indonesia,1960,71,87751068
Isle of Man,1960,72,48442
India,1960,73,450547679
Ireland,1960,74,2828600
"Iran, Islamic Rep.",1960,75,21906914
Iraq,1960,76,7289760
Iceland,1960,77,175574
Israel,1960,78,2114020
Italy,1960,79,50199700
Jamaica,1960,80,1628520
Jordan,1960,81,933102
Japan,1960,82,92500572
Kazakhstan,1960,83,9934563
Kenya,1960,84,8120080
Cambodia,1960,85,5722370
South Korea,1960,86,25012374
Kuwait,1960,87,269029
Lebanon,1960,88,1804941
Liberia,1960,89,1118657
Libya,1960,90,1448417
St. Lucia,1960,91,89697
Liechtenstein,1960,92,16493
Sri Lanka,1960,93,9874476
Lesotho,1960,94,837270
Lithuania,1960,95,2778550
Luxembourg,1960,96,313970
Latvia,1960,97,2120979
Macao,1960,98,167791
St. Martin,1960,99,3893
Morocco,1960,100,12328532
Monaco,1960,101,22452
Madagascar,1960,102,5099373
Maldives,1960,103,89863
Mexico,1960,104,37771859
Marshall Islands,1960,105,14662
North Macedonia,1960,106,1488667
Mali,1960,107,5263733
Malta,1960,108,326550
Myanmar,1960,109,21736942
Montenegro,1960,110,480579
Mongolia,1960,111,955505
Mozambique,1960,112,7184869
Mauritania,1960,113,850384
Mauritius,1960,114,659351
Malawi,1960,115,3659984
Malaysia,1960,116,8156347
Namibia,1960,117,634142
New Caledonia,1960,118,79000
Niger,1960,119,3388764
Nigeria,1960,120,45138458
Nicaragua,1960,121,1773129
Netherlands,1960,122,11486631
Norway,1960,123,3581239
Nepal,1960,124,10105050
Nauru,1960,125,4375
New Zealand,1960,126,2371800
Oman,1960,127,551740
Pakistan,1960,128,44988690
Panama,1960,129,1132997
Peru,1960,130,10155015
Philippines,1960,131,26269734
Palau,1960,132,9771
Papua New Guinea,1960,133,2255859
Poland,1960,134,29637450
Puerto Rico,1960,135,2358000
Portugal,1960,136,8857716
Paraguay,1960,137,1903982
French Polynesia,1960,138,78076
Qatar,1960,139,47384
Romania,1960,140,18406905
Russia,1960,141,119897000
Rwanda,1960,142,2935582
Saudi Arabia,1960,143,4086539
Sudan,1960,144,7544491
Senegal,1960,145,3206749
Singapore,1960,146,1646400
Sierra Leone,1960,147,2317636
El Salvador,1960,148,2766324
San Marino,1960,149,15432
Somalia,1960,150,2755972
South Sudan,1960,151,2842724
Suriname,1960,152,287871
Slovak Republic,1960,153,4068095
Slovenia,1960,154,1584720
Sweden,1960,155,7484656
Eswatini,1960,156,336583
Seychelles,1960,157,41700
Syria,1960,158,4573512
Chad,1960,159,3001609
Togo,1960,160,1580513
Thailand,1960,161,27397207
Tajikistan,1960,162,2087049
Turkmenistan,1960,163,1603258
Tonga,1960,164,61577
Trinidad,1960,165,847979
Tunisia,1960,166,4178236
Turkey,1960,167,27472345
Tuvalu,1960,168,5323
Tanzania,1960,169,10052152
Uganda,1960,170,6767095
Ukraine,1960,171,42664652
Uruguay,1960,172,2538643
United States,1960,173,180671000
Uzbekistan,1960,174,8526300
Venezuela,1960,175,8141841
British Virgin Islands,1960,176,8048
Virgin Islands (U.S.),1960,177,32500
Vietnam,1960,178,32670039
Vanuatu,1960,179,63689
Samoa,1960,180,108629
Kosovo,1960,181,947000
Yemen,1960,182,5315355
South Africa,1960,183,17099840
Zambia,1960,184,3070776
Zimbabwe,1960,185,3776681
Afghanistan,1961,0,9169410
Angola,1961,1,5531472
Albania,1961,2,1659800
Andorra,1961,3,14375
United Arab Emirates,1961,4,100796
Argentina,1961,5,20817266
Armenia,1961,6,1941492
Australia,1961,7,10483000
Austria,1961,8,7086299
Azerbaijan,1961,9,4030322
Burundi,1961,10,2852438
Belgium,1961,11,9183948
Bangladesh,1961,12,49362843
Bulgaria,1961,13,7943118
Bahrain,1961,14,167894
Bahamas,1961,15,115121
Belarus,1961,16,8271216
Bermuda,1961,17,45500
Bolivia,1961,18,3728964
Brazil,1961,19,74311343
Barbados,1961,20,231718
Bhutan,1961,21,228851
Botswana,1961,22,512685
Canada,1961,23,18271000
Switzerland,1961,24,5434294
Channel Islands,1961,25,110399
Chile,1961,26,8303811
China,1961,27,660330000
Cameroon,1961,28,5285017
Congo,1961,29,15637699
Colombia,1961,30,16567811
Comoros,1961,31,194139
